symbol,name,field_of_work
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,Kırtasiye
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,Holding
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,Teknoloji
AKBNK,AKBANK T.A.Ş.,Banka
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Gayrimenkul
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,Enerji
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,Kimya
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,Enerji
ALARK,ALARKO HOLDİNG A.Ş.,Holding
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,Enerji
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,Savunma
ANSGR,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,Sigorta
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,İçecek
ARCLK,ARÇELİK A.Ş.,Beyaz Eşya
ARDYZ,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,Teknoloji
ASELS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,Savunma
ASTOR,ASTOR ENERJİ A.Ş.,Enerji
BTCIM,BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,Çimento
BERA,BERA HOLDİNG A.Ş.,Holding
BJKAS,BEŞİKTAŞ FUTBOL YATIRIMLARI SANAYİ VE TİCARET A.Ş.,Spor
BIMAS,BİM BİRLEŞİK MAĞAZALAR A.Ş.,Perakende
BRSAN,BORUSAN BİRLEŞİK BORU FABRİKALARI SANAYİ VE TİCARET A.Ş.,Boru
BRYAT,BORUSAN YATIRIM VE PAZARLAMA A.Ş.,Pazarlama
CCOLA,COCA-COLA İÇECEK A.Ş.,İçecek
CWENE,CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,Enerji
CANTE,ÇAN2 TERMİK A.Ş.,Enerji
CLEBI,ÇELEBİ HAVA SERVİSİ A.Ş.,Hava Servisi
CIMSA,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,Çimento
DOHOL,DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,Holding
DOAS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,Otomotiv
EGEEN,EGE ENDÜSTRİ VE TİCARET A.Ş.,Endüstri
ECILC,ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,İlaç
EKGYO,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Gayrimenkul
ENJSA,ENERJİSA ENERJİ A.Ş.,Enerji
ENERY,ENERYA ENERJİ A.Ş.,Enerji
ENKAI,ENKA İNŞAAT VE SANAYİ A.Ş.,İnşaat
EREGL,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,Demir-Çelik
EUPWR,EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,Enerji
FENER,FENERBAHÇE FUTBOL A.Ş.,Spor
FROTO,FORD OTOMOTİV SANAYİ A.Ş.,Otomotiv
GESAN,GİRİŞİM ELEKTRİK SANAYİ TAAHHÜT VE TİCARET A.Ş.,Elektrik
